pattern,image_id,file_name,score,note,ir_tp,ir_fp,ir_fn,fusion_tp,fusion_fp,fusion_fn,num_gt
better_localization,220074,220074.jpg,4.020609269832065,Fusion improved IoU on 1 GT(s).,5,1,0,5,1,0,5
better_localization,260079,260079.jpg,4.017079268841626,Fusion improved IoU on 1 GT(s).,2,0,0,2,2,0,2
better_localization,210120,210120.jpg,4.016806650678605,Fusion improved IoU on 1 GT(s).,2,0,1,2,0,1,3
better_localization,200116,200116.jpg,4.01585606438589,Fusion improved IoU on 1 GT(s).,2,0,0,2,1,0,2
better_localization,190123,190123.jpg,4.0132311538269665,Fusion improved IoU on 1 GT(s).,5,1,0,5,2,0,5
better_localization,220279,220279.jpg,4.001090974754296,Fusion improved IoU on 1 GT(s).,4,0,0,4,0,0,4
crowded_separation,190311,190311.jpg,14.2,"Crowded scene with 11 GTs. Fusion TP=10, IR TP=8.",8,1,3,10,0,1,11
crowded_separation,230095,230095.jpg,13.2,"Crowded scene with 6 GTs. Fusion TP=5, IR TP=3.",3,2,3,5,2,1,6
crowded_separation,220096,220096.jpg,7.8,"Crowded scene with 9 GTs. Fusion TP=9, IR TP=8.",8,1,1,9,1,0,9
crowded_separation,190190,190190.jpg,7.6,"Crowded scene with 8 GTs. Fusion TP=8, IR TP=7.",7,0,1,8,0,0,8
crowded_separation,190210,190210.jpg,7.6,"Crowded scene with 8 GTs. Fusion TP=7, IR TP=6.",6,2,2,7,1,1,8
crowded_separation,220120,220120.jpg,7.6,"Crowded scene with 8 GTs. Fusion TP=8, IR TP=7.",7,0,1,8,0,0,8
crowded_separation,230280,230280.jpg,7.4,"Crowded scene with 7 GTs. Fusion TP=6, IR TP=5.",5,0,2,6,0,1,7
crowded_separation,190710,190710.jpg,7.2,"Crowded scene with 6 GTs. Fusion TP=6, IR TP=5.",5,0,1,6,0,0,6
crowded_separation,190730,190730.jpg,7.2,"Crowded scene with 6 GTs. Fusion TP=6, IR TP=5.",5,0,1,6,0,0,6
crowded_separation,190818,190818.jpg,7.2,"Crowded scene with 6 GTs. Fusion TP=5, IR TP=4.",4,1,2,5,1,1,6
crowded_separation,190822,190822.jpg,7.2,"Crowded scene with 6 GTs. Fusion TP=6, IR TP=5.",5,0,1,6,0,0,6
crowded_separation,210209,210209.jpg,7.2,"Crowded scene with 6 GTs. Fusion TP=6, IR TP=5.",5,0,1,6,0,0,6
crowded_separation,210386,210386.jpg,7.2,"Crowded scene with 6 GTs. Fusion TP=6, IR TP=5.",5,0,1,6,0,0,6
crowded_separation,210415,210415.jpg,7.2,"Crowded scene with 6 GTs. Fusion TP=6, IR TP=5.",5,1,1,6,1,0,6
crowded_separation,220312,220312.jpg,7.2,"Crowded scene with 6 GTs. Fusion TP=6, IR TP=5.",5,1,1,6,1,0,6
